r2,mse,rmse,mae
0.9316865801811218,323.0348205566406,17.973169463303922,12.87922477722168
0.9368422031402588,304.72369384765625,17.45633678203008,12.712568283081055
0.937816321849823,273.54461669921875,16.53918428155448,12.208917617797852
0.9344735741615295,297.9195861816406,17.26034722077284,12.518135070800781
0.9392709136009216,300.8406677246094,17.344759085228294,12.52511978149414
0.9379988312721252,294.0964660644531,17.149240976336333,12.420469284057617
0.9355364441871643,304.1903076171875,17.4410523655308,12.674383163452148
0.9348732829093933,299.331298828125,17.301193566575833,12.773619651794434
0.9320884943008423,338.7287902832031,18.404586120942877,13.293097496032715
0.9341497421264648,316.10369873046875,17.77930535005428,13.13821029663086
