r2,mse,rmse,mae
0.8359990201689946,104.86022219761853,10.24012803619264,6.435135234344685
0.7468323175320403,78.84989190318552,8.879746162091882,7.7111747117555485
0.7021140808748572,412.77361380570034,20.31683080122735,12.538070169861061
0.7979565708771048,74.70101031835324,8.642974622105125,6.609749180695216
0.7627544167411557,159.89517529110188,12.644966401343337,9.794747172093317
0.7856251699047101,169.45320446203237,13.017419270425009,10.085752919230263
0.5493119774823482,331.091857352925,18.195929691909807,12.52358377844451
0.6993733861451559,132.33675324732835,11.50377126195268,9.000414299722847
0.7628891475719956,77.46428915785609,8.801379957589383,7.488470480671416
0.6892044739821059,95.47090087040006,9.770921188424358,7.664662442303045
