r2,mse,rmse,mae
0.6721595498507975,1550.2651777763867,39.373406987158056,31.920160430557043
0.6846008951758338,1521.7380394766722,39.00946089702692,31.82426861448772
0.6570367763356313,1508.6876266878237,38.84182831288743,31.840197493981602
0.6560835251382675,1563.635991059019,39.54283741790691,32.28487801556996
0.700359242021003,1484.3643307468456,38.52744905579456,31.127292851701007
0.6756116854467578,1538.7047985796914,39.226327875289215,32.17079485689368
0.6528213986361524,1638.2646755943954,40.475482401009074,33.24327211612011
0.6823376288595766,1460.0194629364871,38.21020103240085,30.899558686358613
0.6712743256044524,1639.6170683651558,40.49218527524979,32.71470337729068
0.6830258773101239,1521.5840145350448,39.007486647245614,31.705656878510116
